model,split,accuracy,precision,recall,f1,threshold,roc_auc
SVM TF-IDF,validation,0.9637681159420289,0.9324324324324325,1.0,0.965034965034965,0.5,
SVM TF-IDF,test,0.9565217391304348,0.9375,0.9782608695652174,0.9574468085106383,0.5,
IndoBERT Classifier,validation_epoch_1,0.9637681159420289,0.9324324324324325,1.0,0.965034965034965,0.3200000000000001,0.9987397605545053
IndoBERT Classifier,validation_epoch_2,0.9710144927536232,0.9452054794520548,1.0,0.971830985915493,0.3900000000000002,0.9993698802772527
IndoBERT Classifier,validation_epoch_3,0.9782608695652174,0.9583333333333334,1.0,0.9787234042553191,0.7500000000000004,0.9983196807393404
IndoBERT Classifier,validation_epoch_4,0.9710144927536232,0.9452054794520548,1.0,0.971830985915493,0.2,0.9989498004620878
IndoBERT Classifier,validation_epoch_5,0.9710144927536232,0.9452054794520548,1.0,0.971830985915493,0.2,0.9987397605545053
IndoBERT Classifier,validation_epoch_6,0.9710144927536232,0.9452054794520548,1.0,0.971830985915493,0.2,0.9987397605545053
IndoBERT Classifier,test,0.9891304347826086,0.9787234042553191,1.0,0.989247311827957,0.7500000000000004,1.0
Hybrid IndoBERT+BiLSTM,validation_epoch_1,0.9565217391304348,0.92,1.0,0.9583333333333334,0.2,0.9976895610165932
Hybrid IndoBERT+BiLSTM,validation_epoch_2,0.9782608695652174,0.9583333333333334,1.0,0.9787234042553191,0.6800000000000004,0.9991598403696702
Hybrid IndoBERT+BiLSTM,validation_epoch_3,0.9782608695652174,0.9583333333333334,1.0,0.9787234042553191,0.2800000000000001,0.9993698802772527
Hybrid IndoBERT+BiLSTM,validation_epoch_4,0.9710144927536232,0.9452054794520548,1.0,0.971830985915493,0.2,0.9989498004620878
Hybrid IndoBERT+BiLSTM,validation_epoch_5,0.9710144927536232,0.9452054794520548,1.0,0.971830985915493,0.2,0.9993698802772527
Hybrid IndoBERT+BiLSTM,test,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.6800000000000004,0.9938563327032136
